technique_id,tactics
T1055.011,DefenseEvasion/PrivilegeEscalation
T1053.005,Execution/Persistence/PrivilegeEscalation
T1205.002,DefenseEvasion/Persistence/CommandAndControl
T1066,DefenseEvasion
T1560.001,Collection
T1021.005,LateralMovement
T1047,Execution
T1156,Persistence
T1113,Collection
T1027.011,DefenseEvasion
T1067,Persistence
T1037,Persistence/PrivilegeEscalation
T1557,CredentialAccess/Collection
T1033,Discovery
T1583,ResourceDevelopment
T1218.011,DefenseEvasion
T1613,Discovery
T1583.007,ResourceDevelopment
T1143,DefenseEvasion
T1161,Persistence
T1132.001,CommandAndControl
T1027.009,DefenseEvasion
T1150,DefenseEvasion/Persistence/PrivilegeEscalation
T1556.003,CredentialAccess/DefenseEvasion/Persistence
T1578.004,DefenseEvasion
T1148,DefenseEvasion
T1592,Reconnaissance
T1596.003,Reconnaissance
T1056.001,Collection/CredentialAccess
T1564.012,DefenseEvasion
T1222.002,DefenseEvasion
T1110.001,CredentialAccess
T1216.001,DefenseEvasion
T1597.002,Reconnaissance
T1003,CredentialAccess
T1129,Execution
T1602,Collection
T1561.002,Impact
T1498.001,Impact
T1492,Impact
T1574.007,Persistence/PrivilegeEscalation/DefenseEvasion
T1213.002,Collection
T1006,DefenseEvasion
T1044,Persistence/PrivilegeEscalation
T1588.007,ResourceDevelopment
T1666,DefenseEvasion
T1564.008,DefenseEvasion
T1491.002,Impact
T1027.013,DefenseEvasion
T1171,CredentialAccess
T1590.005,Reconnaissance
T1499.001,Impact
T1014,DefenseEvasion
T1546.013,PrivilegeEscalation/Persistence
T1059.007,Execution
T1590.002,Reconnaissance
T1501,Persistence
T1485.001,Impact
T1514,PrivilegeEscalation
T1123,Collection
T1543,Persistence/PrivilegeEscalation
T1133,Persistence/InitialAccess
T1109,DefenseEvasion/Persistence
T1546.006,PrivilegeEscalation/Persistence
T1539,CredentialAccess
T1053.007,Execution/Persistence/PrivilegeEscalation
T1568.002,CommandAndControl
T1036.007,DefenseEvasion
T1548.002,PrivilegeEscalation/DefenseEvasion
T1099,DefenseEvasion
T1496.003,Impact
T1016.001,Discovery
T1548.003,PrivilegeEscalation/DefenseEvasion
T1560.003,Collection
T1578,DefenseEvasion
T1584.008,ResourceDevelopment
T1583.008,ResourceDevelopment
T1069,Discovery
T1114,Collection
T1003.002,CredentialAccess
